"IMP_Sec","IMP_P_TT_Count","IMP_O_TT_Count","id"
9.57498348556409,-999,-999,1
9.57498348556409,-999,-999,2
9.57498348556409,-999,-999,3
10.6735957742322,-999,-999,4
9.57498348556409,-999,-999,5
9.57498348556409,-999,-999,6
9.57498348556409,-999,-999,7
9.57498348556409,-999,-999,8
9.57498348556409,-999,-999,9
10.268130666124,-999,-999,10
9.57498348556409,-999,-999,11
9.57498348556409,-999,-999,12
9.57498348556409,-999,-999,13
9.57498348556409,-999,-999,14
9.57498348556409,-999,-999,15
9.57498348556409,-999,-999,16
9.57498348556409,-999,-999,17
9.57498348556409,-999,-999,18
10.6750761594026,159,152,19
10.2722195175881,7,0,20
9.59362803513964,0,19,21
9.58383310084107,152,413,22
11.3846715504991,11,25,23
10.2693798855245,44,288,24
10.3232499653451,13,27,25
10.2798670797492,22,47,26
10.9834605369853,7,25,27
10.9603920378044,34,3,28
10.2733254830011,93,237,29
10.9786947327579,8,218,30
9.59335535124676,4,18,31
9.59315078951954,0,131,32
10.6807920411028,13,10,33
10.2879332934202,255,196,34
10.268928958515,8,18,35
10.31281187097,232,298,36
9.5834888786078,86,83,37
11.1960617191549,7,72,38
9.58190392840867,3,291,39
9.5801783024412,0,24,40
10.3234471067947,0,85,41
10.3120478655516,0,78,42
9.82254861003078,9,0,43
10.278905739292,29,161,44
9.57692604202343,0,32,45
10.3442232747262,23,89,46
11.2186886235478,18,69,47
